id,provenience,ancient_name,modern_name,total_occurences
54,Shuruppak (mod. Fara),Shuruppak,Fara,0
206,"uncertain (mod. Deh-e No)
",uncertain,Deh-e No,0
26,Tuttul (mod. Tell Bi'a),Tuttul,Tell Bi'a,0
24,Mardaman (mod. Bassetki),Mardaman,Bassetki,0
23,Kutha (mod. Tell Ibrahim),Kutha,Tell Ibrahim,0
22,Nippur (mod. Nuffar),Nippur,Nuffar,0
21,Ur (mod. Tell Muqayyar),Ur,Tell Muqayyar,0
20,uncertain (mod. Kizkapanlı),uncertain,Kizkapanlı,0
19,uncertain (mod. Khan Haswa),uncertain,Khan Haswa,0
18,uncertain (mod. Mah-i-dasht plain),uncertain,Mah-i-dasht plain,0
17,Ba-milkišu (mod. uncertain),Ba-milkišu,uncertain,0
16,Lagaba (mod. uncertain),Lagaba,uncertain,0
14,Samal (mod. Zinčirli),Samal,Zinčirli,0
13,Dur-Kurigalzu (mod. Aqar Quf),Dur-Kurigalzu,Aqar Quf,0
12,Susa (mod. Shush),Susa,Shush,0
11,Qasr-i Abu Nasr (mod. uncertain),Qasr-i Abu Nasr,uncertain,0
10,Antipatris (mod. Tel Aphek),Antipatris,Tel Aphek,0
9,uncertain (mod. Lahir),uncertain,Lahir,0
8,uncertain (mod. Tell Abu Nakhlab),uncertain,Tell Abu Nakhlab,0
7,uncertain (mod. Tell Muhammad),uncertain,Tell Muhammad,0
5,uncertain (mod. Masat Höyük),uncertain,Masat Höyük,0
4,uncertain (mod. Hissar),uncertain,Hissar,0
25,Sippar-Yahrurum (mod. Tell Abu Habbah),Sippar-Yahrurum,Tell Abu Habbah,0
27,uncertain (mod. Pāra),uncertain,Pāra,0
53,uncertain (mod. Hillah),uncertain,Hillah,0
28,uncertain (mod. Nahavand),uncertain,Nahavand,0
51,Tigunānum (mod. uncertain),Tigunānum,uncertain,0
48,Irisagrig (mod. uncertain),Irisagrig,uncertain,0
47,Gubla (mod. Byblos),Gubla,Byblos,0
46,uncertain (mod. Hazor),uncertain,Hazor,0
45,Dusabar (mod. uncertain),Dusabar,uncertain,0
44,uncertain (mod. Habuba Kabira),uncertain,Habuba Kabira,0
42,uncertain (mod. Jebel Aruda),uncertain,Jebel Aruda,0
41,GARIN-naḫallum (mod. uncertain),GARIN-naḫallum,uncertain,0
40,Nigin (mod. Surghul),Nigin,Surghul,0
39,Lagash (mod. El-Hiba),Lagash,El-Hiba,0
38,Garšana (mod. uncertain),Garšana,uncertain,0
37,Kapru (mod. uncertain),Kapru,uncertain,0
36,uncertain (mod. Tell Hammam et-Turkman),uncertain,Tell Hammam et-Turkman,0
35,Ḫadatu (mod. Arslan Tash),Ḫadatu,Arslan Tash,0
34,uncertain (mod. Tell Taban),uncertain,Tell Taban,0
