,Text,Lemma,POS,Tag,Dep,Shape,Is_Alpha,Is_Stop
8096,a,avoir,VERB,VERB,advcl,x,True,True
8097,(,(,PUNCT,PUNCT,punct,(,False,False
8098,a,avoir,AUX,AUX,aux:tense,x,True,True
8099,a,avoir,X,X,parataxis,x,True,True
8100,),),PUNCT,PUNCT,punct,),False,False
8101,(,(,PUNCT,PUNCT,punct,(,False,False
8102,u,u,NOUN,NOUN,case,x,True,False
8103,2,2,NUM,NUM,nummod,d,False,False
8104,ib2zi,ib2zi,PROPN,PROPN,nmod,xxdxx,False,False
8105,ib2zi,ib2zi,PROPN,PROPN,nmod,xxdxx,False,False
8106,2,2,NUM,NUM,nummod,d,False,False
8107,u,u,ADP,ADP,case,x,True,False
8108,3,3,PRON,PRON,nmod,d,False,False
8109,),),PUNCT,PUNCT,punct,),False,False
8110,al,al,VERB,VERB,cc,xx,True,False
8111,i,i,ADJ,ADJ,fixed,x,True,True
