,Text,Lemma,POS,Tag,Dep,Shape,Is_Alpha,Is_Stop
8771,.,.,PUNCT,PUNCT,punct,.,False,False
8772,",",",",PUNCT,PUNCT,punct,",",False,False
8773,s.d,s.d,NOUN,NOUN,ROOT,x.x,False,False
8774,.,.,PUNCT,PUNCT,punct,.,False,False
8775,],],PUNCT,PUNCT,punct,],False,False
8776,),),PUNCT,PUNCT,punct,),False,False
8777,",",",",PUNCT,PUNCT,punct,",",False,False
8778,confer,confer,NOUN,NOUN,parataxis,xxxx,True,False
8779,  ,  ,SPACE,SPACE,dep,  ,False,False
8780,infra,infra,ADJ,ADJ,amod,xxxx,True,False
8781,3.1.2.2,3.1.2.2,DET,DET,punct,d.d.d.d,False,False
8782,Ur,ur,NOUN,NOUN,ROOT,Xx,True,False
8783,III,iii,ADJ,ADJ,amod,XXX,True,False
8784,.,.,PUNCT,PUNCT,punct,.,False,False
8785,20,20,NUM,NUM,ROOT,dd,False,False
8786,Ainsi,ainsi,ADV,ADV,ROOT,Xxxxx,True,True
8787,Wilcke,Wilcke,PROPN,PROPN,flat:name,Xxxxx,True,False
8788,",",",",PUNCT,PUNCT,punct,",",False,False
8789,AOAT,AOAT,PROPN,PROPN,conj,XXXX,True,False
8790,267,267,NUM,NUM,nummod,ddd,False,False
8791,",",",",PUNCT,PUNCT,punct,",",False,False
8792,127,127,NUM,NUM,nummod,ddd,False,False
8793,n.,n.,NOUN,NOUN,conj,x.,False,False
8794,18,18,NUM,NUM,nummod,dd,False,False
8795,:,:,PUNCT,PUNCT,punct,:,False,False
8796,«,«,PROPN,PROPN,appos,«,False,False
8797,(,(,PUNCT,PUNCT,punct,(,False,False
8798,Männer,Männer,PROPN,PROPN,appos,Xxxxx,True,False
8799,-,-,PROPN,PROPN,flat:name,-,False,False
8800,Arbeitstage,Arbeitstage,PROPN,PROPN,flat:name,Xxxxx,True,False
8801,",",",",PUNCT,PUNCT,punct,",",False,False
8802,an,an,NOUN,NOUN,conj,xx,True,False
8803,denen,denen,NOUN,NOUN,nmod,xxxx,True,False
8804,),),PUNCT,PUNCT,punct,),False,False
8805,Hackarbeit,Hackarbeit,PROPN,PROPN,ROOT,Xxxxx,True,False
8806,verrichtet,verrichtet,VERB,VERB,amod,xxxx,True,False
8807,wurde,wurde,PROPN,PROPN,nmod,xxxx,True,False
8808,»,»,PUNCT,PUNCT,punct,»,False,False
8809,.,.,PUNCT,PUNCT,punct,.,False,False
8810,Sallaberger,Sallaberger,PROPN,PROPN,dep,Xxxxx,True,False
8811,me,me,PRON,PRON,iobj,xx,True,True
8812,fait,faire,AUX,AUX,dep,xxxx,True,True
8813,remarquer,remarquer,VERB,VERB,ROOT,xxxx,True,False
8814,(,(,PUNCT,PUNCT,punct,(,False,False
8815,communication,communication,NOUN,NOUN,obl:mod,xxxx,True,False
8816,privée,priver,VERB,VERB,amod,xxxx,True,False
8817,):,):,PUNCT,PUNCT,punct,):,False,False
8818,«,«,PROPN,PROPN,amod,«,False,False
8819,Wäre,Wäre,PROPN,PROPN,ROOT,Xxxx,True,False
8820,*,*,ADJ,ADJ,amod,*,False,False
8821,ib2+B+a,ib2+b+a,ADV,ADV,punct,xxd+X+x,False,False
8822,in,in,X,X,ROOT,xx,True,False
8823,Ur,Ur,PROPN,PROPN,ROOT,Xx,True,False
8824,III,iii,ADJ,ADJ,nmod,XXX,True,False
